CODIGO,DESCRIPCION
404,VERDE SORRENTO
405,VERDE TARANTO
406,VERDE TORNASOL
407,VERDE TROPICO
408,VERDE TURQUEZA
409,VERDE VIRMANIA
410,VERDE WATTEAU
456,VERDE Y
97,VERDE ZETO
976,VINO
977,VINO BEIGE
978,VINO GRIS
979,VINO METALIZADO
411,VINO PERLECENTE
980,VINO PERLECENTE METALICO
981,VINO PLOMO
982,VINO TINTO Y DORADO
983,VINO TINTO Y PLATEADO
65,VINOTINTO
98,VIOLETA
984,VIOLETA BLANCO
985,VIOLETA CAMALEON
986,VIOLETA ESPECIAL
987,VIOLETA INGO
988,VIOLETA METALIZADO
989,VIOLETA PALIDO
990,VIOLETA PERSA
991,VIOLETA ROSSETTI
992,VIOLETA Y AMARILLO
993,VIOLETA Y CROMO
994,WINDSOR UVA
995,ZANAHORIA
996,ZANAHORIA Y BLANCO
76,ZAPOTE
